number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
145,AER3,R2,Rep4,sand,Kasawaya,G6,6,33.6,0.2,35.4701,-5.18,3.09,2.3303,21.15,24.53,42.83,0.35,1.6461,898.5585,52.56,0.41,46.52,0.18
146,AER3,R2,Rep4,sand,Natal_common,G11,6,39,0.29,47.4012,-8.12,-2.71,2.9077,16.71,22.55,14.69,0.34,1.0939,1047.4754,74.59,0.58,63.03,0.07
147,AER3,R2,Rep4,sand,Makulu_red,G7,7,40,0.27,50.4971,-7.94,0.04,4.4576,22.14,28.44,28.18,0.38,-0.2949,1619.4455,61.72,0.55,61.47,0.13
148,AER3,R2,Rep4,sand,Tumbe,G12,7,42.8,0.17,70.6743,-4.51,5.36,5.3652,23.03,28.17,39.64,0.28,-3.791,1464.1998,47.6,0.52,57.8,0.16
149,AER3,R2,Rep4,sand,Murambatsvina,G9,7,44,0.31,25.8162,-11.38,-3.22,6.4247,26.5,32.94,42.73,0.55,4.4399,1803.1521,70.54,0.49,57.16,0.19
150,AER3,R2,Rep4,sand,Munzungu_munemari,G8,7,47.2,0.37,36.7033,-8.09,-3.78,6.577,14.41,19.51,8.2,0.4,0.6427,659.3422,84.67,0.54,58.94,0.05
151,AER3,R2,Rep4,sand,Chizambia,G3,7,54,0.29,51.0025,-8.57,-1.33,6.6675,21.39,26.83,30.79,0.42,0.0151,2172.9229,66.61,0.48,54.92,0.14
152,AER3,R2,Rep4,sand,Chigunwe,G2,7,58.9,0.34,18.1902,-6.85,0.5,6.7207,20.37,24.39,30.19,0.48,5.2894,1025.5212,60.35,0.42,48.26,0.16
153,AER3,R2,Rep4,sand,Bobwhite,G1,7,59.6,0.39,33.8966,-11.01,-5.47,8.0272,19.78,26.43,13.97,0.46,2.986,1735.9322,82.33,0.55,61.35,0.1
154,AER3,R2,Rep4,sand,Guinea_fowl,G4,7,59.85,0.35,66.3771,-7.22,-1.65,9.452,16.34,21.1,7.75,0.37,-1.1029,701.7126,69.43,0.49,54.52,0.09
155,AER3,R2,Rep4,sand,Muromo_wehoto,G10,8,64.85,0.37,47.0931,-7.86,-2.19,12.7645,17.08,22.58,7.93,0.4,0.3137,1070.2547,71.47,0.54,59.43,0.08
156,AER3,R2,Rep4,sand,Kabhutsu,G5,8,71,0.11,89.7581,0.58,12.45,14.3653,22.85,25.95,34.58,0.16,-7.887,990.6625,35.27,0.46,51.5,0.19
157,AER3,R2,Rep5,sand,Kasawaya,G6,6,34.5,0.51,36.4476,-10.89,-6.29,1.2759,17.58,23.74,7.6,0.55,4.09,1666.8799,89.44,0.54,59.62,0.08
158,AER3,R2,Rep5,sand,Natal_common,G11,6,39.5,0.22,45.944,-5.08,4.94,1.3354,24.48,29.04,44.87,0.4,-1.7008,1917.1549,50.07,0.47,53.54,0.19
159,AER3,R2,Rep5,sand,Makulu_red,G7,7,41,0.7,13.3996,-16.06,-13.17,2.504,18.46,25.8,3.2,0.72,8.7063,2513.3058,112.45,0.53,60.48,0.07
160,AER3,R2,Rep5,sand,Tumbe,G12,7,43,0.13,70.1573,-3.2,8.39,3.0309,27.4,30.05,54.23,0.29,-6.1264,2112.141,46.3,0.41,47.46,0.27
161,AER3,R2,Rep5,sand,Murambatsvina,G9,7,44.6,0.33,36.6011,-5.7,2.37,4.9115,21.2,24.66,24.75,0.43,3.0782,1306.2227,54.7,0.4,46.43,0.18
162,AER3,R2,Rep5,sand,Munzungu_munemari,G8,7,48,0.21,67.6688,-3.15,7.47,5.3272,24.8,27.73,41.32,0.36,-5.3868,1793.7505,45.77,0.41,47.44,0.23
163,AER3,R2,Rep5,sand,Chizambia,G3,7,54.8,0.2,32.492,-8.49,3.31,8.9571,34.13,37.5,61.92,0.51,-0.0416,3927.4887,57.51,0.41,50.33,0.34
164,AER3,R2,Rep5,sand,Chigunwe,G2,7,59,0.4,44.2789,-5.96,-1.5,9.3042,12.87,17.11,5.81,0.42,-0.1707,445.3864,70.47,0.52,56.5,0.05
165,AER3,R2,Rep5,sand,Bobwhite,G1,7,61,0.1,78.1536,-1.71,14.46,10.7534,33.92,38.92,62.59,0.26,-7.2786,1894.5508,42.52,0.54,61.66,0.27
166,AER3,R2,Rep5,sand,Guinea_fowl,G4,7,61.8,0.19,88.0661,-1.77,12.34,11.3929,30.29,34.2,35.14,0.3,-8.5535,1501.4071,42.62,0.48,55.37,0.26
167,AER3,R2,Rep5,sand,Muromo_wehoto,G10,7,65,0.17,76.5866,-2.84,10.88,13.07,30.53,34.81,45.38,0.31,-7.0219,1854.6964,44.62,0.49,56.13,0.26
168,AER3,R2,Rep5,sand,Kabhutsu,G5,7,71.8,0.16,82.5465,-0.54,7.21,17.619,14.45,18.13,9.16,0.17,-5.1308,-113.7233,26.67,0.55,59.02,0.07
169,AER3,R2,Rep6,sand,Kasawaya,G6,6,35,0.04,91.1872,2.67,20.77,4.1117,34.1,36.8,76.37,0.16,-10.8907,1578.2947,36.92,0.49,56.23,0.31
170,AER3,R2,Rep6,sand,Natal_common,G11,6,40,0.12,36.1713,-2.29,13.05,4.4072,34.5,37.74,63.65,0.33,-1.5086,2325.1562,44.7,0.46,54.53,0.32
171,AER3,R2,Rep6,sand,Makulu_red,G7,7,41.6,0.05,83.1763,2.15,20.01,4.8885,34.47,37.06,74.48,0.2,-10.4211,1797.9905,37.88,0.48,55.61,0.32
172,AER3,R2,Rep6,sand,Tumbe,G12,7,43.8,0.21,31.7344,-2.74,10.07,5.5311,31.37,32.2,48.64,0.41,2.2073,1939.8157,46.64,0.36,44.08,0.36
173,AER3,R2,Rep6,sand,Murambatsvina,G9,7,44.8,0.1,50.4911,-6.16,9.1,6.234,38.82,43.22,74.83,0.4,-3.64,3618.5038,51.06,0.49,58.37,0.35
174,AER3,R2,Rep6,sand,Munzungu_munemari,G8,7,48.5,0.07,89.2944,2.04,19.03,6.6356,33.29,35.32,69.18,0.21,-11.1412,1748.7233,37.98,0.45,52.72,0.32
175,AER3,R2,Rep6,sand,Chizambia,G3,7,55,0.07,85.4901,2.37,20.32,7.1,34.43,36.94,70.03,0.22,-10.9438,1738.0564,37.58,0.48,55.47,0.32
176,AER3,R2,Rep6,sand,Chigunwe,G2,7,59.6,0.1,38.8934,0.11,15.79,9.3083,33.02,35.14,63.11,0.27,-3.0089,1996.7998,40.98,0.44,51.44,0.33
177,AER3,R2,Rep6,sand,Bobwhite,G1,7,61.5,0.03,91.1462,4.4,24.09,14.2853,35.72,37.72,77.36,0.15,-12.1468,1607.678,35.48,0.49,56.03,0.34
178,AER3,R2,Rep6,sand,Guinea_fowl,G4,8,62,0.13,84.3355,0.4,16.7,15.8973,34.16,36.1,54.49,0.28,-10.6573,1940.4156,40.86,0.44,51.78,0.34
179,AER3,R2,Rep6,sand,Muromo_wehoto,G10,8,65.8,0.05,42.811,2.27,19.83,16.4302,35.3,36.28,78.98,0.26,-5.3547,1914.7331,38.82,0.43,50.72,0.37
180,AER3,R2,Rep6,sand,Kabhutsu,G5,8,72,0.02,88.9301,5.85,26.84,18.6892,35.96,38.21,84.79,0.12,-12.1538,1585.1758,33.55,0.51,58.32,0.32
181,AER3,R3,Rep4,sand,Kasawaya,G6,6,35.6,0.17,31.7244,-2.51,3.3,0.9476,12.45,16.23,20.96,0.21,-1.9114,186.3621,31.56,0.56,60.08,0.05
182,AER3,R3,Rep4,sand,Natal_common,G11,7,40.5,0.13,55.0731,-1.52,6.33,1.5612,15.58,19.61,33.53,0.2,-3.2783,435.733,32.54,0.55,59,0.08
183,AER3,R3,Rep4,sand,Makulu_red,G7,7,42,0.27,11.226,-3.42,2.4,1.7914,13.28,17.41,13.3,0.31,-1.1238,504.5745,39.48,0.56,60.44,0.05
184,AER3,R3,Rep4,sand,Tumbe,G12,7,44,0.19,40.8278,-4.21,0.99,2.4651,12.76,16.93,9.33,0.21,-0.8704,378.9593,46.52,0.56,60.17,0.05
185,AER3,R3,Rep4,sand,Murambatsvina,G9,7,45,0.18,23.8543,-2.79,2.77,2.5984,12.21,15.96,27.58,0.24,-1.5726,231.4426,33.33,0.56,59.5,0.04
186,AER3,R3,Rep4,sand,Munzungu_munemari,G8,7,49,0.26,26.3421,-3.25,2.47,2.8899,12.92,16.95,20.99,0.33,-1.7296,252.7285,37.77,0.56,60.38,0.05
187,AER3,R3,Rep4,sand,Chizambia,G3,7,55.5,0.2,45.2949,-2.41,3.07,3.2541,11.79,15.32,11.97,0.23,-2.485,28.4339,30.23,0.55,58.46,0.04
188,AER3,R3,Rep4,sand,Chigunwe,G2,7,60,0.24,34.8441,-2.94,2.83,3.4217,12.86,16.57,18.39,0.3,-1.9551,298.5922,37.24,0.53,57.01,0.06
189,AER3,R3,Rep4,sand,Bobwhite,G1,8,62,0.16,42.5028,-2.44,3.22,3.8341,12.25,15.69,21.33,0.2,-2.0341,203.6448,33.15,0.52,55.92,0.05
190,AER3,R3,Rep4,sand,Guinea_fowl,G4,8,62.8,0.03,68.7274,0.73,17.18,3.8518,30.3,35.91,89.59,0.24,-7.1873,1223.2032,36.43,0.6,66.55,0.21
191,AER3,R3,Rep4,sand,Muromo_wehoto,G10,8,65.9,0.21,46.2312,-3.41,1.99,4.2374,12.48,16.35,10.82,0.23,-1.2889,319.1283,39.4,0.55,58.83,0.05
192,AER3,R3,Rep4,sand,Kabhutsu,G5,8,72.8,0.09,73.3563,-2.9,2.44,11.6659,11.82,15.66,7.05,0.1,-1.8868,99.2564,31.74,0.58,61.8,0.04
193,AER3,R3,Rep5,sand,Kasawaya,G6,6,36,0.03,27.2307,-8.92,5.47,1.5523,35.83,46.6,93.64,0.42,-1.9268,2916.9283,53.6,0.77,84.18,0.19
194,AER3,R3,Rep5,sand,Natal_common,G11,7,41,0.03,74.1157,0.32,12.63,1.9581,22.83,27.24,79.8,0.15,-6.3543,719.5416,34.06,0.54,59.53,0.16
195,AER3,R3,Rep5,sand,Makulu_red,G7,7,43,0.29,13.289,-3.93,2.19,3.3448,14.33,18.73,13.97,0.34,-0.8998,690.1091,43.97,0.56,60.2,0.06
196,AER3,R3,Rep5,sand,Tumbe,G12,7,44.5,0.01,75.4409,-1.32,13.11,4.0915,29.31,34.37,92.86,0.14,-6.1343,1502.482,40.52,0.54,61.01,0.22
197,AER3,R3,Rep5,sand,Murambatsvina,G9,7,45.8,0.01,72.2266,-1.47,12.42,4.1321,28.79,33.32,91.34,0.13,-5.8257,1618.4817,41.13,0.51,58.04,0.23
198,AER3,R3,Rep5,sand,Munzungu_munemari,G8,7,49.7,0.01,35.2623,-5.89,9.13,6.8598,33.33,43.17,97.48,0.23,-3.156,2259.2499,47.13,0.77,83.57,0.17
199,AER3,R3,Rep5,sand,Chizambia,G3,7,56,0,56.1583,-2.92,14.02,12.6279,34.28,42.75,97.96,0.12,-4.8282,2055.0626,42.24,0.72,78.4,0.2
200,AER3,R3,Rep5,sand,Chigunwe,G2,8,61,0.49,32.8938,-9.9,-1.79,15.2144,24.31,31.8,22.65,0.63,1.3847,2152.0879,67.25,0.59,66.09,0.14
201,AER3,R3,Rep5,sand,Bobwhite,G1,8,62.8,0.01,87.719,1.59,19.89,17.274,31.48,38.61,88.51,0.07,-7.1007,1206.0223,34.02,0.72,77.01,0.19
202,AER3,R3,Rep5,sand,Guinea_fowl,G4,8,63,0.03,96.1233,2.97,15.44,33.7213,19.92,23.9,60.22,0.08,-8.0376,5.3506,24.95,0.58,62.1,0.13
203,AER3,R3,Rep5,sand,Muromo_wehoto,G10,8,66,0.12,85.7235,0.12,11.28,40.3469,20.6,24.96,44.16,0.21,-6.6727,308.8487,32.67,0.55,59.89,0.14
204,AER3,R3,Rep5,sand,Kabhutsu,G5,8,73,0.13,76.1072,-3.74,1.5,49.5052,12.37,16.54,5.6,0.13,-1.4295,201.6591,40.18,0.59,62.52,0.04
205,AER3,R3,Rep6,sand,Kasawaya,G6,6,36.5,0.03,27.2307,-8.92,5.47,1.7557,35.83,46.6,93.64,0.42,-1.9268,2916.9283,53.6,0.77,84.18,0.19
206,AER3,R3,Rep6,sand,Natal_common,G11,7,41.8,0.04,71.0695,-0.48,11.44,1.9435,23.02,27.47,78.58,0.17,-5.8365,857.845,36.24,0.53,58.6,0.17
207,AER3,R3,Rep6,sand,Makulu_red,G7,7,43.5,0.27,13.2949,-3.37,2.85,2.8181,14.02,18.27,14.94,0.32,-1.3272,570.878,39.74,0.56,60.35,0.06
208,AER3,R3,Rep6,sand,Tumbe,G12,7,45,0.01,74.7595,-1.59,12.76,3.4441,29.57,34.59,94.37,0.14,-6.0241,1559.1925,41.22,0.54,60.6,0.23
209,AER3,R3,Rep6,sand,Murambatsvina,G9,7,46,0.01,69.967,-2.05,11.64,4.0915,29.12,33.66,92.98,0.14,-5.4957,1707.8152,42.46,0.51,57.58,0.24
210,AER3,R3,Rep6,sand,Munzungu_munemari,G8,7,50,0.01,33.6962,-6.34,8.72,4.7311,34.19,43.95,96.95,0.25,-2.9725,2423.4055,48.33,0.75,81.93,0.19
211,AER3,R3,Rep6,sand,Chizambia,G3,7,56.8,0.25,44.6338,-3.37,1.94,13.3959,12.32,16.03,13.3,0.28,-1.9168,197.3168,39.9,0.53,57.07,0.05
212,AER3,R3,Rep6,sand,Chigunwe,G2,8,61.5,0.49,32.8938,-9.9,-1.79,13.7913,24.31,31.8,22.65,0.63,1.3847,2152.0879,67.25,0.59,66.09,0.14
213,AER3,R3,Rep6,sand,Bobwhite,G1,8,63,0.01,77.2205,-0.17,17.34,16.2203,32.51,39.66,93.65,0.11,-6.2617,1565.7124,37.66,0.68,74.29,0.2
214,AER3,R3,Rep6,sand,Guinea_fowl,G4,8,63.8,0.05,93.2325,1.48,13.05,18.3897,19.9,23.98,60.5,0.13,-7.2873,132.3197,28.55,0.56,60.4,0.13
215,AER3,R3,Rep6,sand,Muromo_wehoto,G10,8,66.8,0.13,84.5368,-0.64,10.14,40.3469,20.79,25.1,43.6,0.23,-6.429,416.0064,35.16,0.53,58.19,0.14
216,AER3,R3,Rep6,sand,Kabhutsu,G5,8,73.5,0.14,77.757,-4.15,1.12,48.414,12.8,17.18,5.47,0.15,-1.2229,261.7923,44.42,0.59,63.19,0.04
1,AER4,R1,Rep1,red,Kasawaya,G6,4,14.88,0.6,40,-4.84,2.46,1.09,27.6,22.65,33.26,0.26,-3.45,0,49.34,0.55,60.06,0.09
2,AER4,R1,Rep1,red,Natal_common,G11,4,18.14,0.2,61.88,-2.93,8.41,2.76,24.55,29.49,29.56,0.28,-3.85,1628.36,43.06,0.52,58.28,0.18
3,AER4,R1,Rep1,red,Makulu_red,G7,4,19.06,0.68,40,-9.85,2.23,2.87,27.3,36.3,24.5,0.49,2.25,0,50.21,0.52,57.48,0.1
4,AER4,R1,Rep1,red,Tumbe,G12,4,19.94,0.11,68.81,-2.67,12.69,5.09,34.44,38.36,48.15,0.21,-5.35,2814.95,44.97,0.49,56.69,0.31
5,AER4,R1,Rep1,red,Murambatsvina,G9,5,21.63,0.33,36.39,-8.46,-1.69,6.36,20.05,25.97,16.35,0.39,2.8,2308.69,68.05,0.53,59.16,0.11
6,AER4,R1,Rep1,red,Munzungu_munemari,G8,5,25.48,0.28,52.22,-6.74,0.61,6.45,19.6,25.2,11.09,0.32,0.71,1677.11,58.7,0.54,59.65,0.11
7,AER4,R1,Rep1,red,Chizambia,G3,5,30.09,0.28,44.39,-4.91,2.59,7.93,18.21,23.14,18.88,0.31,0.62,1304.52,49.94,0.53,58.11,0.11
8,AER4,R1,Rep1,red,Chigunwe,G2,6,30.56,0.32,43.22,-7.64,2.73,8.46,29.59,35.23,28.74,0.45,2.24,2091.79,64.25,0.53,58.49,0.11
9,AER4,R1,Rep1,red,Bobwhite,G1,6,33.58,0.38,79.87,-8.7,18.49,9.68,23.62,39.17,45.03,0.44,7.52,1838.91,38.01,0.6,66.51,0.25
10,AER4,R1,Rep1,red,Guinea_fowl,G4,6,36.2,0.57,52.49,-16.36,-8.12,10,20.82,26.04,50.3,0.52,8.21,2020.43,55.91,0.51,56.55,0.14
11,AER4,R1,Rep1,red,Muromo_wehoto,G10,6,40.32,0.23,48.18,-8.93,4.27,35.22,37.21,42.16,42.2,0.4,-1.05,3944.62,56.63,0.48,57.24,0.33
12,AER4,R1,Rep1,red,Kabhutsu,G5,7,52.96,0.2,77.34,-0.06,9.37,55,18.21,21.3,6.51,0.21,-5.31,706.48,33.17,0.46,50.9,0.14
13,AER4,R1,Rep2,red,Kasawaya,G6,4,15.2,0.65,43.48,-7.61,3.12,0,28.55,24.43,32.94,0.28,-3.1,2862.88,55.9,0.51,58.44,0.21
14,AER4,R1,Rep2,red,Natal_common,G11,4,19.3,0.34,0,-9.53,-0.68,0,26.04,32.4,25.57,0.45,0,0,64.32,0.51,58.75,0.18
15,AER4,R1,Rep2,red,Makulu_red,G7,4,19.8,0.65,33.78,-10.86,2.23,1.09,29.55,36.11,25.48,0.45,2.33,3376.9,65.48,0.5,58.76,0.22
16,AER4,R1,Rep2,red,Tumbe,G12,4,20,0.23,51.04,-4.69,3.89,2.21,20.18,25.47,45.3,0.3,-0.99,1526.08,48.02,0.54,59.87,0.12
17,AER4,R1,Rep2,red,Murambatsvina,G9,5,21.8,0.25,48.47,-5.53,2.88,5.89,20.74,26.15,25.9,0.33,-0.43,1743.89,51.68,0.53,59.15,0.13
18,AER4,R1,Rep2,red,Munzungu_munemari,G8,5,25.8,0.26,46.98,-5.57,2.51,6.82,20.13,25.31,23.05,0.34,0.26,1738.41,52.44,0.52,57.69,0.13
19,AER4,R1,Rep2,red,Chizambia,G3,6,30.9,0.29,45.67,-5.8,3.41,7.02,18.36,23.69,16.11,0.34,0.32,1430.93,54.46,0.55,60.01,0.1
20,AER4,R1,Rep2,red,Chigunwe,G2,6,31.5,0.34,43.95,-8.14,2.24,8,25.97,31.76,21.07,0.43,2.84,2589.44,59.33,0.5,57.06,0.19
21,AER4,R1,Rep2,red,Bobwhite,G1,6,33.8,0.31,78.27,-8.73,-16.78,9.05,22.99,42.22,48.09,0.44,8.1,2458.37,64.54,0.53,59.47,0.14
22,AER4,R1,Rep2,red,Guinea_fowl,G4,6,36.8,0.51,50.16,-15.1,-8.12,9.27,27.42,25.32,55.2,0.51,6.99,3871.89,81.2,0.53,61.14,0.17
23,AER4,R1,Rep2,red,Muromo_wehoto,G10,6,40.35,0.25,0,-5.94,2.33,38.42,20.96,26.2,23.96,0.33,0,0,53.76,0.51,57.18,0.14
24,AER4,R1,Rep2,red,Kabhutsu,G5,7,53,0.2,77.34,-0.06,9.37,58,18.21,21.3,6.51,0.21,-5.31,706.48,33.17,0.46,50.9,0.14
25,AER4,R1,Rep3,red,Kasawaya,G6,4,15.6,0.58,42.3,-6.9,5.05,1.09,21.26,26.27,34.61,0.26,-3.07,1207.69,41.65,0.54,59.75,0.14
26,AER4,R1,Rep3,red,Natal_common,G11,4,19.8,0.12,69.89,3.2,23.58,2.78,39.2,40.99,28,0.23,-10.27,2276.38,38.22,0.48,56.77,0.37
27,AER4,R1,Rep3,red,Makulu_red,G7,4,20,0.66,45.88,-9.76,2.82,4.15,21.19,36.98,25.3,0.4,2.5,1499.9,51.99,0.56,61.43,0.13
28,AER4,R1,Rep3,red,Tumbe,G12,4,20.3,0.21,69.5,-2.64,13.38,4.5,36.24,39.86,44.38,0.29,-5.91,2595.56,45.29,0.48,56.65,0.33
29,AER4,R1,Rep3,red,Murambatsvina,G9,5,22,0.21,53.15,-4.57,11.37,6.65,38.34,42.55,38.83,0.35,-4,3295.81,48.38,0.49,58.53,0.34
30,AER4,R1,Rep3,red,Munzungu_munemari,G8,5,26,0.24,70.9,-2.79,12.02,7.05,34.27,37.17,27.04,0.33,-6.65,2394.8,45.76,0.45,52.77,0.33
31,AER4,R1,Rep3,red,Chizambia,G3,6,31,0.32,54.84,-4.26,5.35,7.05,22.16,27.23,14.38,0.35,0.39,1271.58,46.75,0.52,57.85,0.15
32,AER4,R1,Rep3,red,Chigunwe,G2,6,32,0.37,42.3,-9.11,3.08,8.8,24.37,39.99,27.4,0.44,2.3,0,57.75,0.49,57.99,0.29
33,AER4,R1,Rep3,red,Bobwhite,G1,6,34,0.34,79,-7.79,14.97,9.23,23.59,41.42,46.65,0.43,9,0,48.64,0.55,61.53,0.15
34,AER4,R1,Rep3,red,Guinea_fowl,G4,6,37,0.52,59.53,-12.22,-9.34,11.71,21.66,26.49,56,0.55,7.21,911.46,36.76,0.56,60.77,0.14
35,AER4,R1,Rep3,red,Muromo_wehoto,G10,7,41,0.38,52.4,-6.7,3.09,40,25.15,30.95,11.07,0.42,-0.81,2115.19,54.35,0.52,58.83,0.18
36,AER4,R1,Rep3,red,Kabhutsu,G5,7,53.8,0.2,77.34,-0.06,9.37,60,18.21,21.3,6.51,0.21,-5.31,706.48,33.17,0.46,50.9,0.14
37,AER4,R1,Rep4,sand,Kasawaya,G6,4,20.1,0.2,61.592,-3.65,4.69,2.9241,18.45,23.65,16.03,0.24,-2.0278,999.2077,42.75,0.58,62.69,0.1
38,AER4,R1,Rep4,sand,Natal_common,G11,5,23.5,0.17,68.7095,-1.57,9.54,3.2749,22.53,27.12,20.87,0.22,-4.1132,1245.3506,38.72,0.53,58.19,0.16
39,AER4,R1,Rep4,sand,Makulu_red,G7,5,23.5,0.31,50.5016,-8.86,-1.13,3.3641,22.51,29.06,14.54,0.36,1.4855,2163.4165,65.6,0.55,61.75,0.13
40,AER4,R1,Rep4,sand,Tumbe,G12,5,24.5,0.31,55.7905,-7.66,-0.1,3.4846,20.85,27.13,11.47,0.35,0.6855,1681.2111,61.79,0.57,62.67,0.11
41,AER4,R1,Rep4,sand,Murambatsvina,G9,5,25,0.24,56.8228,-3.98,4.48,3.9037,19.14,24.26,11.71,0.28,-1.5237,1264.426,44.9,0.55,60.6,0.11
42,AER4,R1,Rep4,sand,Munzungu_munemari,G8,5,29,0.23,55.9789,-3.78,3.74,4.0762,16.98,21.86,11.42,0.26,-1.366,931.5537,43.45,0.57,61.22,0.09
43,AER4,R1,Rep4,sand,Chizambia,G3,6,34,0.18,71.0361,-1.09,9.53,4.4686,20.93,25.36,16.79,0.22,-4.3802,947.0182,36.48,0.53,58.34,0.14
44,AER4,R1,Rep4,sand,Chigunwe,G2,6,35,0.25,64.1227,-4.13,4.71,4.5152,20.09,25.39,13.78,0.29,-1.9263,1130.089,45.46,0.56,60.95,0.12
45,AER4,R1,Rep4,sand,Bobwhite,G1,6,37.8,0.22,56.8029,-4.02,4.1,4.5236,18.43,23.56,13.64,0.26,-1.6566,1147.6131,44.81,0.56,61.26,0.1
46,AER4,R1,Rep4,sand,Guinea_fowl,G4,6,40,0.1,80.9082,2.45,14.87,5.0934,20.59,24.54,18.93,0.12,-7.0672,403.6636,27.19,0.56,60.44,0.14
47,AER4,R1,Rep4,sand,Muromo_wehoto,G10,7,44,0.21,63.7397,-3.89,4.95,5.3343,19.86,25.05,18.29,0.26,-1.954,1135.0568,44.51,0.55,60.66,0.12
48,AER4,R1,Rep4,sand,Kabhutsu,G5,7,56.8,0.25,54.1249,-5.08,3.57,7.8265,20.65,26.19,21.39,0.32,-1.1399,1456.0816,49.28,0.55,60.98,0.12
49,AER4,R1,Rep5,sand,Kasawaya,G6,5,20.5,0.19,73.0441,-2.36,7.97,1.3582,21.53,26.41,21.05,0.24,-3.9527,1012.0985,40.17,0.54,59.5,0.14
50,AER4,R1,Rep5,sand,Natal_common,G11,5,24,0.29,60.4137,-6.34,1.98,1.3989,21.15,27.19,11.73,0.33,-0.6078,1466.0703,54.47,0.57,62.63,0.12
51,AER4,R1,Rep5,sand,Makulu_red,G7,5,24.5,0.24,58.4703,-4.91,6.91,1.5904,27.7,33.4,32.81,0.35,-2.968,1959.9494,48.22,0.53,60.28,0.2
52,AER4,R1,Rep5,sand,Tumbe,G12,5,24.8,0.23,72.3451,-4.02,4.87,1.7228,20.2,25.3,11.19,0.25,-2.2507,1076.3675,45.38,0.54,59.41,0.13
53,AER4,R1,Rep5,sand,Murambatsvina,G9,5,25.4,0.28,60.8136,-5.68,2.59,1.8834,20.61,26.01,14.44,0.32,-0.9194,1453.5188,52.41,0.53,58.91,0.13
54,AER4,R1,Rep5,sand,Munzungu_munemari,G8,5,29.5,0.28,67.8857,-4.8,3.98,1.9485,20.76,26.02,8.38,0.3,-1.8819,1220.3499,48.53,0.54,59.16,0.13
55,AER4,R1,Rep5,sand,Chizambia,G3,6,34.5,0.29,68.6624,-4.95,3.29,2.9728,19.76,24.99,8.17,0.32,-1.7054,1093.0376,49.4,0.54,59.28,0.12
56,AER4,R1,Rep5,sand,Chigunwe,G2,6,35.4,0.37,56.2827,-8.79,-1.02,3.0296,22.53,29.07,7.14,0.4,1.1619,1879.6742,65.14,0.55,61.76,0.13
57,AER4,R1,Rep5,sand,Bobwhite,G1,6,38,0.19,71.7532,-2.57,7.68,3.3891,21.48,26.54,16.64,0.23,-3.6443,1061.5247,40.53,0.55,60.54,0.14
58,AER4,R1,Rep5,sand,Guinea_fowl,G4,7,40.5,0.16,80.648,-1.19,8.72,3.4021,19.47,23.87,11.1,0.18,-4.5561,650.7972,35.49,0.54,58.85,0.13
59,AER4,R1,Rep5,sand,Muromo_wehoto,G10,7,44.6,0.34,59.1179,-7.94,-0.08,5.4648,22.02,27.91,8.79,0.37,0.7474,1829.0187,62.26,0.52,58.6,0.14
60,AER4,R1,Rep5,sand,Kabhutsu,G5,7,57,0.17,79.1128,-2.26,6.82,6.0431,19.13,23.32,28.97,0.24,-4.564,666.2155,39.53,0.51,55.63,0.13
61,AER4,R1,Rep6,sand,Kasawaya,G6,5,21,0.19,64.6488,-5.33,9.63,4.7231,36.29,41.4,31.43,0.28,-3.5088,2812.2169,49.33,0.51,60.05,0.3
62,AER4,R1,Rep6,sand,Natal_common,G11,5,24.5,0.27,63.7077,-5.55,4.34,4.8517,24.17,29.62,13.39,0.32,-1.4764,1678.0016,50.82,0.52,58.19,0.17
63,AER4,R1,Rep6,sand,Makulu_red,G7,5,25,0.47,34.5797,-13.95,-8.37,4.951,22.79,30.51,11.52,0.53,5.838,2739.3668,87.15,0.56,62.92,0.12
64,AER4,R1,Rep6,sand,Tumbe,G12,5,25.5,0.4,51.0295,-10.66,-4.21,5.0559,21.5,28.13,10,0.44,3.1079,2065.8979,76,0.54,60.4,0.12
65,AER4,R1,Rep6,sand,Murambatsvina,G9,5,26,0.34,54.3497,-9.13,-0.48,5.1305,24.92,31.68,14.47,0.4,1.1227,2167.2441,63.58,0.55,61.86,0.16
66,AER4,R1,Rep6,sand,Munzungu_munemari,G8,5,30,0.38,50.0661,-10.53,-4.14,5.1493,21.24,27.75,11.78,0.43,3.3993,2074.2912,76.07,0.53,59.85,0.12
67,AER4,R1,Rep6,sand,Chizambia,G3,6,35,0.41,47.7294,-10.77,-4.31,5.3468,21.62,28.3,11.6,0.46,3.4862,2121.3389,76.24,0.54,60.47,0.12
68,AER4,R1,Rep6,sand,Chigunwe,G2,6,35.4,0.48,40.3765,-13.44,-7.85,5.4648,22.28,29.44,9.7,0.53,5.6891,2528.8313,86.24,0.53,59.88,0.12
69,AER4,R1,Rep6,sand,Bobwhite,G1,6,38.6,0.33,54.5602,-9.09,-0.85,5.4754,24.01,30.53,14.59,0.39,1.5982,2106.8565,64.74,0.54,60.53,0.15
70,AER4,R1,Rep6,sand,Guinea_fowl,G4,7,41,0.12,71.9794,-2.58,14.12,6.4493,36.92,41.39,38.31,0.2,-5.704,2560.279,44.79,0.52,60.22,0.31
